@relation temp

@attribute Ilan-Durumu {Satilik, Kiralik}
@attribute Oda-Salon-Sayisi {1+0, 1+4, 1+1, 2+0, 2+1, 3+1, 4+1, 5+1, 6+1, 7+1, 8+1, 8+2, 7+2, 6+2, 5+2, 4+2, 3+2, 2+2}
@attribute Brut-Net-M2 numeric
@attribute Bulundugu-Kat numeric
@attribute Bina-Yasi numeric
@attribute Isinma-Tipi {Kombi, Gunes-Enerjisi,  Dogalgaz-Sobasi, Isi-Pompasi, Merkezi, Klima, Kat-Kaloriferi, Isitma-Yok, Soba, Yerden-Isitma, Belirtilmemis, Jeotermal-Isitma }
@attribute Kati-Sayisi numeric
@attribute Krediye-Uygunluk {Uygun, Uygun-degil, Bilinmiyor}
@attribute Esya-Durumu { Esyali, Esyali-Degil }
@attribute Banyo-Sayisi numeric
@attribute Yapi-Tipi {Betonarme, Tas-Bina, Kagir, Yigma, Ahsap, Celik}
@attribute Yapinin-Durumu { Sifir, Ikinci-El, Yapim-Asamasinda }
@attribute Kullanim-Durumu { Bos, Kiraci-Oturuyor, Ev-Sahibi-Oturuyor, Belirtilmemis }
@attribute Aidat numeric
@attribute Takas {Hayir, Evet}
@attribute Cephe { Kuzey-Guney-Dogu-Bati, Kuzey-Dogu-Bati, Kuzey-Guney-Dogu, Kuzey-Guney-Bati, Kuzey-Guney, Kuzey-Dogu, Kuzey-Bati, Guney-Dogu-Bati, Guney-Dogu, Guney-Bati, Dogu-Bati, Guney, Kuzey, Bati, Dogu }
@attribute Kira-Getirisi {"500-1000","1000-2000","2000-3000","3000-4000","4000-5000","5000-6000","6000-7000","7000-8000","8000-9000","9000-10000","10000-11000","11000-12000","12000-13000","13000-14000","14000-15000","15000-16000","16000-17000","17000-18000","18000-19000","19000-20000","20000-21000"}
@attribute Yakit-Tipi {Dogalgaz,Elektrik, Komur-Odun, Akaryakit}
@attribute Fiyat {"250000-300000","300000-350000","350000-400000","400000-450000","450000-500000","500000-550000","550000-600000","600000-650000","650000-700000","700000-750000","750000-800000","800000-850000","850000-900000","900000-950000","950000-1000000","1000000-1050000","1050000-1100000","1100000-1150000","1150000-1200000","1200000-1250000","1250000-1300000","1300000-1350000","1350000-1400000","1400000-1450000","1450000-1500000","1500000-1550000","1550000-1600000","1600000-1650000","1650000-1700000","1700000-1750000","1750000-1800000","1800000-1850000","1850000-1900000","1900000-1950000","1950000-2000000","2000000-2050000","500-1000","1000-2000","2000-3000","3000-4000","4000-5000","5000-6000","6000-7000","7000-8000","8000-9000","9000-10000","10000-11000","11000-12000","12000-13000","13000-14000","14000-15000","15000-16000","16000-17000","17000-18000","18000-19000","19000-20000","20000-21000"}
@data
Satilik,2+1,137,9,21,Merkezi,10,Uygun,Esyali-Degil,2,Betonarme,Sifir,Bos,50,Hayir,Kuzey-Guney-Dogu-Bati,4000-5000,Dogalgaz,2000000-2050000
Satilik,2+1,112,5,38,Kombi,14,Uygun,Esyali-Degil,2,Betonarme,Sifir,Bos,746,Hayir,Kuzey-Guney-Dogu-Bati,10000-11000,Dogalgaz,1150000-1200000
Satilik,2+1,110,10,3,Merkezi,10,Uygun,Esyali-Degil,2,Betonarme,Ikinci-El,Kiraci-Oturuyor,255,Evet,Dogu-Bati,2000-3000,Dogalgaz,900000-950000
Satilik,2+1,115,11,1,Kombi,12,Uygun,Esyali-Degil,2,Betonarme,Sifir,Bos,10,Evet,Kuzey-Guney-Dogu-Bati,4000-5000,Dogalgaz,900000-950000
Satilik,4+1,280,10,5,Kombi,10,Uygun,Esyali-Degil,3,Betonarme,Ikinci-El,Ev-Sahibi-Oturuyor,565,Hayir,Kuzey-Guney,5000-6000,Dogalgaz,2000000-2050000
Satilik,2+1,100,3,2,Kombi,5,Uygun,Esyali-Degil,1,Betonarme,Sifir,Bos,389,Hayir,Guney-Dogu,18000-19000,Dogalgaz,400000-450000
Satilik,3+1,150,4,38,Merkezi,5,Uygun,Esyali-Degil,2,Betonarme,Ikinci-El,Bos,800,Hayir,Guney-Dogu,14000-15000,Dogalgaz,2000000-2050000
Satilik,5+1,550,2,32,Kombi,2,Uygun,Esyali-Degil,3,Betonarme,Ikinci-El,Bos,310,Hayir,Guney-Dogu-Bati,17000-18000,Dogalgaz,2000000-2050000
Satilik,4+1,260,2,40,Merkezi,5,Uygun,Esyali-Degil,2,Betonarme,Ikinci-El,Bos,372,Hayir,Guney-Dogu-Bati,6000-7000,Dogalgaz,2000000-2050000
Satilik,3+1,130,3,45,Merkezi,4,Uygun,Esyali-Degil,1,Betonarme,Ikinci-El,Kiraci-Oturuyor,704,Hayir,Kuzey-Guney-Dogu-Bati,8000-9000,Dogalgaz,2000000-2050000
Satilik,4+1,180,7,25,Kombi,7,Uygun,Esyali-Degil,2,Betonarme,Sifir,Bos,725,Evet,Kuzey-Guney-Dogu-Bati,3000-4000,Dogalgaz,1450000-1500000
Satilik,3+1,135,3,15,Kombi,4,Uygun,Esyali-Degil,2,Betonarme,Sifir,Bos,606,Hayir,Guney-Dogu,14000-15000,Dogalgaz,1500000-1550000
Satilik,3+1,135,1,35,Merkezi,3,Uygun,Esyali-Degil,2,Betonarme,Ikinci-El,Bos,400,Hayir,Guney-Dogu,15000-16000,Dogalgaz,2000000-2050000
